Day  Month  Year           SSH               SST 
                           (m)               (C)

 8     11   2011     0.818201238289     24.4922940731
 9     11   2011     0.784020507708     24.1451155096
 10    11   2011     0.744956815615     23.7671742886
 11    11   2011     0.73641163297      23.6953947544
 12    11   2011     0.7568590343       23.7708365098
 13    11   2011     0.761131625623     23.8396862671
 14    11   2011     0.766319772229     24.0147404373
 15    11   2011     0.748619036749     24.1341288462
 16    11   2011     0.720236822963     23.9253822416
 17    11   2011     0.688497573137     23.6001770049
 18    11   2011     0.65797906369      23.1372722536
 19    11   2011     0.623187962919     22.8325754553
 20    11   2011     0.577105013654     22.5037079975
 21    11   2011     0.508743552491     22.4172795787
 22    11   2011     0.433362834156     22.2883693948
 23    11   2011     0.380870997906     22.2253791913
 24    11   2011     0.359508041292     22.243690297
 25    11   2011     0.356456190348     22.3103427216
 26    11   2011     0.387585069984     22.3301187158
 27    11   2011     0.442823572084     22.4355906844
 28    11   2011     0.514847254381     22.6326181814
 29    11   2011     0.559709463269     22.5923337489
 30    11   2011     0.546891689301     22.7073274925
 1     12   2011     0.536820581183     22.7175817117
 2     12   2011     0.533768730238     22.5916013047
 3     12   2011     0.539872432128     22.3242591619
 4     12   2011     0.560014648363     22.2839747295
 5     12   2011     0.592364268377     22.1931516454
 6     12   2011     0.617389446124     22.1008636728
 7     12   2011     0.652180546895     22.0539872423
 8     12   2011     0.686056092381     21.849635303
 9     12   2011     0.696432385594     21.7514877766
 10    12   2011     0.706198308617     21.6928922385
 11    12   2011     0.728782005608     21.6350291446
 12    12   2011     0.761741995811     21.5786309391
 13    12   2011     0.786461988464     21.5251625106
 14    12   2011     0.816064942628     21.4585100859
 15    12   2011     0.826136050746     21.3903927729
 16    12   2011     0.849330117926     21.2753990293
 17    12   2011     0.870387889445     21.07104709
 18    12   2011     0.905178990215     20.9699697867
 19    12   2011     0.938444165513     21.0461439863
 20    12   2011     0.976287117228     21.1442915127
 21    12   2011     1.01016266271      21.1691946164
 22    12   2011     1.02237006649      21.1010773033
 23    12   2011     1.01351969875      21.0043946654
 24    12   2011     1.01443525404      20.9208960235
 25    12   2011     1.00772118196      20.7751396224
 26    12   2011     1.02053895593      20.6183965579
 27    12   2011     1.04129154235      20.4726401567
 28    12   2011     1.05899227783      20.3459273055
 29    12   2011     1.07058931142      20.205298014
 30    12   2011     1.06692709029      19.9980162978
 31    12   2011     1.05197302066      19.620807521
 1     1    2012     1.04098635726      19.2780236229
 2     1    2012     1.02694784291      19.1417889968
 3     1    2012     1.011078218        19.0722067952
 4     1    2012     1.02237006649      19.0407116935
 5     1    2012     1.02298043668      18.9901730418
 6     1    2012     1.03579821065      18.9198583961
 7     1    2012     1.03976561688      18.8803064078
 8     1    2012     1.03396710008      18.8041322082
 9     1    2012     1.03396710008      18.7426068932
 10    1    2012     1.02267525159      18.6971953511
 11    1    2012     1.0107730329       18.7660451084
 12    1    2012     0.985747855157     19.0370494723
 13    1    2012     0.974150821567     19.2128360868
 14    1    2012     0.948210088536     19.0575579107
 15    1    2012     0.91982787475      18.8934904039
 16    1    2012     0.893276771531     18.8275704235
 17    1    2012     0.870693074539     18.755058445
 18    1    2012     0.849940488115     18.6862086877
 19    1    2012     0.841090120375     18.7235633433
 20    1    2012     0.843226416036     18.8898281828
 21    1    2012     0.863368632272     19.0143437013
 22    1    2012     0.896023437381     18.9887081534
 23    1    2012     0.90548417531      18.8832361847
 24    1    2012     0.883816033602     18.7689748853
